Reporting starts,Reporting ends,Campaign name,Campaign ID,Campaign delivery,Results,Result indicator,Reach,Impressions,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Objective,Frequency,Clicks (all),CPC (all) (INR),CTR (all),"Cost per 1,000 people reached (INR)","CPM (cost per 1,000 impressions) (INR)",Page engagement
2019-11-13,2019-11-13,"ECR - Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131995139757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,ZUCI-Fintech-Webin-3rdPartyLap-Sep2-ver2.0,6131772686757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-13,2019-11-13,Zuci-NoChangeinSalescopy-Text-30-Aug-19,6131762158357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-13,2019-11-13,Zuci-AI-USA-29-Aug-19-Approved,6131725448357,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-13,2019-11-13,Pace-Hubli- Test-18-Sep-19-Ver-1.0,6131679070157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6131666351357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131547648157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: """"",6131545676157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131489683357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131457114557,archived,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ECR-""Count the countless stars in the shine of...""",6131051068157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,ECR-Ind-beach-Party-Test-12-Aug-19-Ver-1.0,6130163223957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,ECR-Bash-on-the-beach-Test-12-Aug-19-Ver-1.0,6130133509357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""ECR No Moon Beach Party @ ECR SEA LOUNGE & BANQUETS""",6129922262557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: "" ECR No Moon Beach Party @ INJAMBAKKAM BEACH""",6129919538757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,ECR Resort-CHN-Test-6-Aug-19,6129624523757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,ECR-Poplar Sleep-CHN-Test -5-Aug-19,6129550224357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,Jaya-Interiors-17-Aug-19-Ver-1.0,6129536051957,inactive,5,actions:onsite_conversion.lead_grouped,3797,4183,69.182,Using ad set budget,0,345.91,Lead Generation,1.101659,138,2.506594,3.299068,91.100869,82.694239,70
2019-11-13,2019-11-13,ECR-No Moon-CHN-Test-5-Aug-19-Ver-1.0,6129529180357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: """"Powering your digital dreams"" """,6129496196757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""ECR Make your holidays pleasant, Memorable and fun...""",6129439533357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""ECR NO MOON BEACH PARTY @ ECR SEA LOUNGE AND BANQUETS...""",6129436176357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,"Post: ""ECR FIRST TIME IN CHENNAI...Party on the sea lounge &...""",6129436057957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-13,2019-11-13,Tycoon Interiors-Test-26-July-19,6128976289157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,Glitz & Glamz -Course-Test-26-July-19,6128739473757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,AskJuno-LG-International-25-July-19,6128620529357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,Glitz & Glamz-Test-24-July-19,6128536702957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,Tycoon Interiors- test-24-July-19,6128531789957,archived,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,Focus-Des-Form-28-June-19 –Ver-1.0,6126109632957,inactive,1,actions:onsite_conversion.lead_grouped,2398,2560,575.94,500,Daily,575.94,Lead Generation,1.067556,72,7.999167,2.8125,240.175146,224.976563,63
2019-11-13,2019-11-13,SUBHAM-HOMES-Form-07-June-19-Ver-1.0,6124202743557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,SVGI-CBE-MALAYALAM-23-May-19-OWN,6122773029357,inactive,,,0,0,,200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,SRG-HALL-16-MAY-19,6122121746157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,OLIVEL-FORM-02-MAY-19-OWN,6120740336557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,QTECH-SERVICES-PONDY-28-APR-19,6120387714957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,SVGI-CBE-Form-24-Apr-19-OWN,6119982451557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,HAPPY-HOMES-CBE-FORM-24-FEB-19-VER-1.1,6114680764357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-13,2019-11-13,AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,1,actions:onsite_conversion.lead_grouped,3572,3789,572.65,Using ad set budget,0,572.65,Lead Generation,1.06075,25,22.906,0.659805,160.316349,151.134864,24
2019-11-12,2019-11-12,AJ-Recruitment-Adbuddy_Boring_kalam_Ver_1.0,6149808687957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Max-life-Form-24-Dec-19-Ver-1.0-Srirangam,6148671691357,inactive,,,0,0,,200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""SECOND DAY of AAHA KALYANAM S4... @Erode"" -New",6148196154757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6148159433957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148158763557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,Panchathara-Brand-Awareness-Panchathara-Jewellers,6148147788157,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148003190957,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6148002990957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6148002778157,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148002668557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147992983957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""FIRST DAY of AAHA KALYANAM S4... @Erode """,6147979968557,inactive,,,0,0,,700,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices...."" –Ver-1.0",6147820058557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,Panchathara-Brand-Awareness-Panchathara –Ver-1.0,6147819748957,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""கண் கவரும் Designer Jewels"" –Ver-1.0",6147819476757,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....-Ver- 1.0",6147818680357,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147773083957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147661119557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6147660712957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147412636157,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147411082557,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,Max-life-Form-16-Dec-19-Ver-1.0-Trichy,6147372524557,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147175149157,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147172919557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Pan-Askjuno-Post ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6146933771757,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Pan-Askjuno-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6146933395157,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,Focus-Design-Form-8-Dec-19-Ver-1.0-New,6145893836957,inactive,,,0,0,,500,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Adbuddy_Fervent_mcnulty
_Ver_1.0",6145165409157,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Adbuddy_Distracted_lovelace_ver_1.0,6145146866357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,AskJuno-Click-Major-Cities-19-Nov-19-Ver-1.0,6142210802557,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Ramesh-Agency-14-Nov-19-Ver-1.0,6141486836557,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Tycoon-Construction-9-Nov-19-Ver-1.0,6140614168957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Tycoon-Interior-Bangalore-9-Nov-19-Ver-1.0,6140576449757,inactive,,,0,0,,800,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Max-life-Test-06-Nov-19-Ver-1.0,6140166342757,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,NA AJ LG Oct 25 Ver2,6138345852157,inactive,,,0,0,,1000,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,NA AJ LG Oct 22,6138024606757,archived,,,0,0,,1200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Rooten,6137475659357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,SVGI-PILOT-15-OCT-19,6136943150757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Annai-Jewellery-CBE-Test-21-Sep-19-Ver-1.0,6134017265957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,ZUCI-QE Webinar-Ver1.0-2ndBlog,6133738391557,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,ZUCI-QE-18-Sep-19-Ver-1.0-2ndBlog,6133645607157,archived,,,0,0,,2000,Daily,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Zuci-QE-Sep12-Ver1,6132997498957,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132512605557,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-11-12,2019-11-12,SVGI-Malayalam-Onam-6-Sep-19-Ver-1.0,6132422460357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132273379957,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-11-12,2019-11-12,"ECR - Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131995139757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,ZUCI-Fintech-Webin-3rdPartyLap-Sep2-ver2.0,6131772686757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Zuci-NoChangeinSalescopy-Text-30-Aug-19,6131762158357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Zuci-AI-USA-29-Aug-19-Approved,6131725448357,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-11-12,2019-11-12,Pace-Hubli- Test-18-Sep-19-Ver-1.0,6131679070157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6131666351357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131547648157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: """"",6131545676157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131489683357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131457114557,archived,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ECR-""Count the countless stars in the shine of...""",6131051068157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,ECR-Ind-beach-Party-Test-12-Aug-19-Ver-1.0,6130163223957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,ECR-Bash-on-the-beach-Test-12-Aug-19-Ver-1.0,6130133509357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""ECR No Moon Beach Party @ ECR SEA LOUNGE & BANQUETS""",6129922262557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: "" ECR No Moon Beach Party @ INJAMBAKKAM BEACH""",6129919538757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,ECR Resort-CHN-Test-6-Aug-19,6129624523757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,ECR-Poplar Sleep-CHN-Test -5-Aug-19,6129550224357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Jaya-Interiors-17-Aug-19-Ver-1.0,6129536051957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,ECR-No Moon-CHN-Test-5-Aug-19-Ver-1.0,6129529180357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: """"Powering your digital dreams"" """,6129496196757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""ECR Make your holidays pleasant, Memorable and fun...""",6129439533357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""ECR NO MOON BEACH PARTY @ ECR SEA LOUNGE AND BANQUETS...""",6129436176357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,"Post: ""ECR FIRST TIME IN CHENNAI...Party on the sea lounge &...""",6129436057957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-12,2019-11-12,Tycoon Interiors-Test-26-July-19,6128976289157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Glitz & Glamz -Course-Test-26-July-19,6128739473757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,AskJuno-LG-International-25-July-19,6128620529357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Glitz & Glamz-Test-24-July-19,6128536702957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Tycoon Interiors- test-24-July-19,6128531789957,archived,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,Focus-Des-Form-28-June-19 –Ver-1.0,6126109632957,inactive,,,0,0,,500,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,SUBHAM-HOMES-Form-07-June-19-Ver-1.0,6124202743557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,SVGI-CBE-MALAYALAM-23-May-19-OWN,6122773029357,inactive,,,0,0,,200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,SRG-HALL-16-MAY-19,6122121746157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,OLIVEL-FORM-02-MAY-19-OWN,6120740336557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,QTECH-SERVICES-PONDY-28-APR-19,6120387714957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,SVGI-CBE-Form-24-Apr-19-OWN,6119982451557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,HAPPY-HOMES-CBE-FORM-24-FEB-19-VER-1.1,6114680764357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-12,2019-11-12,AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-11,2019-11-11,AJ-Recruitment-Adbuddy_Boring_kalam_Ver_1.0,6149808687957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-11-11,2019-11-11,Max-life-Form-24-Dec-19-Ver-1.0-Srirangam,6148671691357,inactive,,,0,0,,200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""SECOND DAY of AAHA KALYANAM S4... @Erode"" -New",6148196154757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6148159433957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148158763557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,Panchathara-Brand-Awareness-Panchathara-Jewellers,6148147788157,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148003190957,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6148002990957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6148002778157,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148002668557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147992983957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""FIRST DAY of AAHA KALYANAM S4... @Erode """,6147979968557,inactive,,,0,0,,700,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices...."" –Ver-1.0",6147820058557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,Panchathara-Brand-Awareness-Panchathara –Ver-1.0,6147819748957,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""கண் கவரும் Designer Jewels"" –Ver-1.0",6147819476757,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....-Ver- 1.0",6147818680357,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147773083957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147661119557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6147660712957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147412636157,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147411082557,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-11-11,2019-11-11,Max-life-Form-16-Dec-19-Ver-1.0-Trichy,6147372524557,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-11-11,2019-11-11,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147175149157,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
